keep_id,keep_name,drop_id,drop_name,city,state,score,keep_source,drop_source
98639,Sacred Heart Convent,120885,Sacred Heart Convent,,IA,100.0,osm,osm
128853,Dodge Community Church,128851,Dover Community Church,,OR,90.9090909090909,osm,osm
128933,First Christian Church,128970,First Christian Church,,OR,100.0,osm,osm
117791,The Church of Jesus Christ of Latter-day Saints,128862,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
117791,The Church of Jesus Christ of Latter-day Saints,128928,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
117791,The Church of Jesus Christ of Latter-day Saints,128947,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
117791,The Church of Jesus Christ of Latter-day Saints,128960,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
117791,The Church of Jesus Christ of Latter-day Saints,128972,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
117791,The Church of Jesus Christ of Latter-day Saints,128974,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128862,The Church of Jesus Christ of Latter-day Saints,128928,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128862,The Church of Jesus Christ of Latter-day Saints,128947,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128862,The Church of Jesus Christ of Latter-day Saints,128960,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128862,The Church of Jesus Christ of Latter-day Saints,128972,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128862,The Church of Jesus Christ of Latter-day Saints,128974,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128928,The Church of Jesus Christ of Latter-day Saints,128947,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128928,The Church of Jesus Christ of Latter-day Saints,128960,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128928,The Church of Jesus Christ of Latter-day Saints,128972,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128928,The Church of Jesus Christ of Latter-day Saints,128974,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128947,The Church of Jesus Christ of Latter-day Saints,128960,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128947,The Church of Jesus Christ of Latter-day Saints,128972,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128947,The Church of Jesus Christ of Latter-day Saints,128974,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128960,The Church of Jesus Christ of Latter-day Saints,128972,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128960,The Church of Jesus Christ of Latter-day Saints,128974,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128972,The Church of Jesus Christ of Latter-day Saints,128974,The Church of Jesus Christ of Latter-day Saints,,OR,100.0,osm,osm
128963,Valley Baptist Church,128966,Valley Baptist Church,,OR,100.0,osm,osm
108963,Sisters of Divine Providence Convent,108964,Sisters of Divine Providence Convent,,PA,100.0,osm,osm
108963,Sisters of Divine Providence Convent,108970,Sisters of Divine Providence Convent,,PA,100.0,osm,osm
108964,Sisters of Divine Providence Convent,108970,Sisters of Divine Providence Convent,,PA,100.0,osm,osm
118038,The Church of Jesus Christ of Latter-day Saints,118048,The Church of Jesus Christ of Latter-day Saints,afton,WY,100.0,osm,osm
